weights,total_change,ret_std,change_per_ret_std,d2,d3,d4,same_sign_days
"PEBBLES_L:0.538, PEBBLES_M:0.538, PEBBLES_S:-0.615, PEBBLES_XL:0.538, PEBBLES_XS:-1.000",8376.719850000003,28.776197689112525,291.0989123892951,3971.928,2056.0943000000007,2348.6975500000026,True
"PEBBLES_L:-0.250, PEBBLES_M:1.000, PEBBLES_S:-0.250, PEBBLES_XL:0.375, PEBBLES_XS:-0.875",7182.9375,24.686193502003814,290.96982892145564,2284.25,2330.5,2568.1875,True
"PEBBLES_L:0.091, PEBBLES_M:1.000, PEBBLES_S:-0.818, PEBBLES_XL:0.545, PEBBLES_XS:-0.818",8809.6676,30.338111910560432,290.38285658552905,3312.307749999999,2402.9464000000007,3094.413450000001,True
"PEBBLES_L:0.250, PEBBLES_M:0.875, PEBBLES_S:-0.375, PEBBLES_XL:0.250, PEBBLES_XS:-1.000",6625.8125,22.830993972457865,290.2113025824911,2348.5625,2889.5,1387.75,True
"PEBBLES_L:-0.286, PEBBLES_M:0.786, PEBBLES_S:0.071, PEBBLES_XL:0.429, PEBBLES_XS:-1.000",7265.172850000003,25.09074955026338,289.5558315404627,2662.6802500000013,1871.9443500000016,2730.54825,True
"PEBBLES_L:-0.286, PEBBLES_M:0.786, PEBBLES_S:-0.286, PEBBLES_XL:0.786, PEBBLES_XS:-1.000",10154.111850000001,35.141201892635266,288.95175187869864,4274.808200000001,1380.7532999999985,4498.550350000001,True
"PEBBLES_L:0.333, PEBBLES_M:0.333, PEBBLES_S:-0.000, PEBBLES_XL:0.333, PEBBLES_XS:-1.000",5956.468849999999,20.622431097433655,288.83446485323685,2882.0735999999997,1663.7873,1410.6079499999996,True
"PEBBLES_L:-0.364, PEBBLES_M:1.000, PEBBLES_S:-0.364, PEBBLES_XL:0.545, PEBBLES_XS:-0.818",8326.3387,28.828726247145635,288.8209013682802,2883.6302499999993,1915.9319500000001,3526.776500000001,True
"PEBBLES_L:0.333, PEBBLES_M:0.333, PEBBLES_S:-0.333, PEBBLES_XL:0.667, PEBBLES_XS:-1.000",8653.479449999999,30.059817600462694,287.87531464817675,4387.123899999999,1205.1779000000006,3061.1776499999996,True
"PEBBLES_L:-0.062, PEBBLES_M:0.875, PEBBLES_S:-0.062, PEBBLES_XL:0.250, PEBBLES_XS:-1.000",6293.625,21.90076033370236,287.3701599443991,2053.875,2554.65625,1685.09375,True
