target,reference,target_family,reference_family,same_family,log_beta,direction,high_spread_action,low_spread_action,log_intercept,log_r2,spread_std_bps,ar1,half_life_ticks,reversion_bps_per_z_next_tick,reversion_t,z2_count,z2_next_tick_reversion_bps,log_return_corr,abs_log_return_corr,best_lead,best_lead_corr,abs_best_lead_corr,pair_score
SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,SNACKPACK,SNACKPACK,True,-0.797911582603151,reversed,"SELL SNACKPACK_VANILLA, SELL 0.798x SNACKPACK_CHOCOLATE","BUY SNACKPACK_VANILLA, BUY 0.798x SNACKPACK_CHOCOLATE",16.556141389749055,0.8539566561898926,67.55144417558228,0.9992419583910255,914.0453795022205,-0.051206805431417916,-3.3317133430732713,1103,0.06985477701569899,-0.9151916562765481,0.9151916562765481,SNACKPACK_VANILLA-> SNACKPACK_CHOCOLATE lag3,0.003898517974900047,0.003898517974900047,2.6242689930095824
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,SNACKPACK,SNACKPACK,True,-1.0702397042588325,reversed,"SELL SNACKPACK_CHOCOLATE, SELL 1.070x SNACKPACK_VANILLA","BUY SNACKPACK_CHOCOLATE, BUY 1.070x SNACKPACK_VANILLA",19.06181269225614,0.8539566561898926,78.23440479163509,0.999356015658754,1075.99505803412,-0.05038173163251959,-3.1092099172719236,826,0.3800201148924336,-0.9151916562765481,0.9151916562765481,SNACKPACK_VANILLA-> SNACKPACK_CHOCOLATE lag3,0.003898517974900047,0.003898517974900047,2.624186485629693
PEBBLES_XS,PEBBLES_XL,PEBBLES,PEBBLES,True,-1.154496368358452,reversed,"SELL PEBBLES_XS, SELL 1.154x PEBBLES_XL","BUY PEBBLES_XS, BUY 1.154x PEBBLES_XL",19.836364614075723,0.686578837773764,1079.1853220544367,0.9997262564081324,2531.7571790562743,-0.2954200663498492,-2.0130990988114905,930,0.8586265639123013,-0.47512818984238253,0.47512818984238253,PEBBLES_XS-> PEBBLES_XL lag2,-0.008326987049562551,0.008326987049562551,2.0412490342511314
PEBBLES_XL,PEBBLES_XS,PEBBLES,PEBBLES,True,-0.5946998679172919,reversed,"SELL PEBBLES_XL, SELL 0.595x PEBBLES_XS","BUY PEBBLES_XL, BUY 0.595x PEBBLES_XS",14.76808803071534,0.6865788377737642,774.5485858398097,0.9996456368651793,1955.689777809297,-0.2744714649495728,-2.2839758597331494,473,1.7730180864286047,-0.47512818984238253,0.47512818984238253,PEBBLES_XS-> PEBBLES_XL lag2,-0.008326987049562551,0.008326987049562551,2.033754174111104
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,SNACKPACK,SNACKPACK,True,-0.7701501796228998,reversed,"SELL SNACKPACK_STRAWBERRY, SELL 0.770x SNACKPACK_PISTACHIO","BUY SNACKPACK_STRAWBERRY, BUY 0.770x SNACKPACK_PISTACHIO",16.331386678002332,0.19550711713732016,307.87368902230037,0.9992772025609465,958.6318523427913,-0.22253031397753006,-3.3174202206860675,1083,0.6758264374744748,0.9125632337000349,0.9125632337000349,SNACKPACK_STRAWBERRY-> SNACKPACK_PISTACHIO lag1,-0.01888289857884402,0.01888289857884402,1.980323382235108
PEBBLES_S,PEBBLES_XL,PEBBLES,PEBBLES,True,-0.5627384052373047,reversed,"SELL PEBBLES_S, SELL 0.563x PEBBLES_XL","BUY PEBBLES_S, BUY 0.563x PEBBLES_XL",14.427970612500015,0.6539214764933894,566.3900125516,0.9996100464346639,1777.1655032059527,-0.22086580476546308,-2.4275396761231995,348,1.9555712772381566,-0.48293566761512285,0.48293566761512285,PEBBLES_S-> PEBBLES_XL lag2,0.008044396736781659,0.008044396736781659,1.9785437245850583
PEBBLES_XL,PEBBLES_S,PEBBLES,PEBBLES,True,-1.1620345624316037,reversed,"SELL PEBBLES_XL, SELL 1.162x PEBBLES_S","BUY PEBBLES_XL, BUY 1.162x PEBBLES_S",20.046814838631853,0.6539214764933894,813.9014676398284,0.9996019376638918,1740.9565051745492,-0.323983519570428,-2.5155130862830584,272,1.0101150116845365,-0.4829356676151228,0.4829356676151228,PEBBLES_S-> PEBBLES_XL lag2,0.008044396736781659,0.008044396736781659,1.973655496065555
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,SNACKPACK,SNACKPACK,True,-0.2538558352775402,reversed,"SELL SNACKPACK_PISTACHIO, SELL 0.254x SNACKPACK_STRAWBERRY","BUY SNACKPACK_PISTACHIO, BUY 0.254x SNACKPACK_STRAWBERRY",11.513697565779793,0.19550711713731916,176.7577401357327,0.9991482541660337,813.4491750892122,-0.15055266878195306,-3.560948878904926,1534,0.3196426664559406,0.9125632337000349,0.9125632337000349,SNACKPACK_STRAWBERRY-> SNACKPACK_PISTACHIO lag1,-0.01888289857884402,0.01888289857884402,1.9731256177155494
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,SNACKPACK,SNACKPACK,True,-0.20160167553063907,reversed,"SELL SNACKPACK_RASPBERRY, SELL 0.202x SNACKPACK_STRAWBERRY","BUY SNACKPACK_RASPBERRY, BUY 0.202x SNACKPACK_STRAWBERRY",11.088416346747431,0.16886273691318754,153.5235748493475,0.9990798894924469,752.9837339604961,-0.14125865437597535,-3.6846131471668047,570,0.6079070336473492,-0.9231686292032276,0.9231686292032276,SNACKPACK_STRAWBERRY-> SNACKPACK_RASPBERRY lag2,-0.011807898166292586,0.011807898166292586,1.9561572315540128
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,SNACKPACK,SNACKPACK,True,-0.8376058208282227,reversed,"SELL SNACKPACK_STRAWBERRY, SELL 0.838x SNACKPACK_RASPBERRY","BUY SNACKPACK_STRAWBERRY, BUY 0.838x SNACKPACK_RASPBERRY",16.999039908416297,0.16886273691318732,312.93046775823433,0.9998859098870978,6075.0894320013895,-0.03570227239718589,-2.1025443348002457,1655,0.10657508388304184,-0.9231686292032274,0.9231686292032274,SNACKPACK_STRAWBERRY-> SNACKPACK_RASPBERRY lag2,-0.011807898166292586,0.011807898166292586,1.9456015933561335
